"id","date_created","date_deleted","date_updated","street","house_number","flat_number","zipcode","country","city"
"","17-Sep-2021 13:20:28","","","Avenue","12","87","61000","United States of America","Washington"
"","17-Sep-2021 13:20:28","","","Khreshatic","34","766","32111","Ukraine","Kiev"
"","17-Sep-2021 13:20:28","","","Avenue","90","537","87660","France","Paris"
"","17-Sep-2021 13:20:28","","","SeaStreet","4","44","9888","Egypt","Cairo"
"","17-Sep-2021 13:20:28","","","Ataturk Street","22","88","43222","Turkey","Ankara"
"","17-Sep-2021 13:20:28","","","7962 Darren Mall","503","150","51694","Venezuela","South Tamishatown"
"","17-Sep-2021 13:20:28","","","2306 Dagmar Vista","710","357","29329","Mali","Johnieburgh"
"","17-Sep-2021 13:20:28","","","53837 Stephen Haven","444","292","72254","Bulgaria","North Tarra"
"","17-Sep-2021 13:20:28","","","750 Schaden Flats","595","448","73881","Guatemala","Wymanport"
"","17-Sep-2021 13:20:28","","","7602 Keebler Points","795","253","76332","Moldova","East Gema"
"","17-Sep-2021 13:20:28","","","6450 Lizbeth Plains","976","69","71122","Romania","Port Gema"
"","17-Sep-2021 13:20:28","","","7907 Kaleigh Viaduct","962","455","72079","Iceland","Delialand"
"","17-Sep-2021 13:20:28","","","4104 Schoen Valleys","195","125","75302","Italy","Prohaskaton"
"","17-Sep-2021 13:20:28","","","01312 Yon Common","412","789","19492","Central African Republic","New Kary"
"","17-Sep-2021 13:20:28","","","02142 Bahringer Wall","141","624","78158","Lao People's Democratic Republic","New Elvis"
"","17-Sep-2021 13:20:28","","","8744 Waelchi Cliff","948","624","89964","Philippines","North Gayemouth"
"","17-Sep-2021 13:20:28","","","9167 Wilbur Station","513","135","48622","Virgin Islands, U.S.","North Craig"
"","17-Sep-2021 13:20:28","","","65400 Schaefer Rapid","26","361","95016","Vietnam","Rosenbaumberg"
"","17-Sep-2021 13:20:28","","","599 Carey Fields","874","505","28364","Saint Kitts and Nevis","East Nelle"
"","17-Sep-2021 13:20:28","","","76937 Viviana Union","132","610","97446","Myanmar","Goodwinville"
"","17-Sep-2021 13:20:28","","","622 Kutch Wall","624","477","28291","Germany","Port Josefine"
"","17-Sep-2021 13:20:28","","","1112 Nolan Island","603","558","54164","Algeria","Bashirianport"
"","17-Sep-2021 13:20:28","","","30270 Kub Mountains","491","949","36610","Argentina","East Krisshire"
"","17-Sep-2021 13:20:28","","","891 Anderson Union","972","642","91899","Anguilla","East Ferdinandview"
"","17-Sep-2021 13:20:28","","","7840 Littel Valley","750","784","54238","Svalbard & Jan Mayen Islands","Eliseobury"
"","17-Sep-2021 13:20:28","","","218 Arnoldo Valley","507","888","18455","Afghanistan","Hipolitotown"
"","17-Sep-2021 13:20:28","","","59922 Phil Roads","45","940","84200","Lesotho","Walshview"
"","17-Sep-2021 13:20:28","","","2717 Langworth Brook","836","540","39660","Greenland","Wintheiserburgh"
"","17-Sep-2021 13:20:28","","","74833 Polly Garden","657","607","92121","Papua New Guinea","East Yaeko"
"","17-Sep-2021 13:20:28","","","438 Ammie Run","958","22","69370","Latvia","Dwaynebury"
"","17-Sep-2021 13:20:28","","","07729 Hessel Track","617","544","38750","Armenia","New Derekchester"
"","17-Sep-2021 13:20:28","","","01175 Kautzer Parkway","625","789","81590","Lesotho","East Kyoko"
"","17-Sep-2021 13:20:28","","","6419 Gail Knoll","514","64","85485","Panama","Lakinberg"
