"id","date_created","date_deleted","date_updated","price","room_number","room_type","hotel_id"
"","17-Sep-2021 13:20:28","","","100.0","1","SINGLE",""
"","17-Sep-2021 13:20:28","","","200.0","2","DOUBLE",""
"","17-Sep-2021 13:20:28","","","300.0","3","FAMILY",""
"","17-Sep-2021 13:20:28","","","400.0","4","DELUXE",""
"","17-Sep-2021 13:20:28","","","150.0","5","SINGLE",""
"","17-Sep-2021 13:20:28","","","250.0","6","DOUBLE",""
"","17-Sep-2021 13:20:29","","","3807.0","818","SINGLE",""
"","17-Sep-2021 13:20:29","","","458.0","124","DELUXE",""
"","17-Sep-2021 13:20:29","","","1872.0","314","DELUXE",""
"","17-Sep-2021 13:20:29","","","3897.0","393","DELUXE",""
"","17-Sep-2021 13:20:29","","","3461.0","919","FAMILY",""
"","17-Sep-2021 13:20:29","","","4131.0","129","DELUXE",""
"","17-Sep-2021 13:20:29","","","2287.0","702","FAMILY",""
"","17-Sep-2021 13:20:29","","","3525.0","537","DELUXE",""
"","17-Sep-2021 13:20:29","","","1282.0","66","FAMILY",""
"","17-Sep-2021 13:20:29","","","1483.0","161","DOUBLE",""
"","17-Sep-2021 13:20:29","","","4677.0","100","DELUXE",""
"","17-Sep-2021 13:20:29","","","4169.0","800","DELUXE",""
"","17-Sep-2021 13:20:29","","","4245.0","300","FAMILY",""
"","17-Sep-2021 13:20:29","","","3291.0","657","DOUBLE",""
"","17-Sep-2021 13:20:29","","","1449.0","153","FAMILY",""
"","17-Sep-2021 13:20:29","","","1658.0","973","SINGLE",""
"","17-Sep-2021 13:20:29","","","3864.0","926","DOUBLE",""
"","17-Sep-2021 13:20:29","","","249.0","666","FAMILY",""
"","17-Sep-2021 13:20:29","","","2488.0","975","FAMILY",""
"","17-Sep-2021 13:20:29","","","502.0","499","SINGLE",""
"","17-Sep-2021 13:20:29","","","1777.0","928","FAMILY",""
"","17-Sep-2021 13:20:29","","","967.0","758","DOUBLE",""
"","17-Sep-2021 13:20:29","","","4283.0","333","FAMILY",""
"","17-Sep-2021 13:20:29","","","511.0","414","FAMILY",""
"","17-Sep-2021 13:20:29","","","2047.0","647","DELUXE",""
"","17-Sep-2021 13:20:29","","","1898.0","922","FAMILY",""
"","17-Sep-2021 13:20:29","","","1275.0","806","FAMILY",""
"","17-Sep-2021 13:20:29","","","1654.0","99","DELUXE",""
"","17-Sep-2021 13:20:29","","","2032.0","724","FAMILY",""
"","17-Sep-2021 13:20:29","","","748.0","434","FAMILY",""
"","17-Sep-2021 13:20:29","","","1568.0","197","FAMILY",""
"","17-Sep-2021 13:20:29","","","389.0","272","FAMILY",""
"","17-Sep-2021 13:20:29","","","4039.0","760","FAMILY",""
"","17-Sep-2021 13:20:29","","","548.0","86","FAMILY",""
"","17-Sep-2021 13:20:29","","","2405.0","191","FAMILY",""
"","17-Sep-2021 13:20:29","","","316.0","193","DOUBLE",""
"","17-Sep-2021 13:20:29","","","2247.0","131","DOUBLE",""
"","17-Sep-2021 13:20:29","","","1862.0","584","FAMILY",""
"","17-Sep-2021 13:20:29","","","271.0","710","FAMILY",""
"","17-Sep-2021 13:20:29","","","346.0","13","FAMILY",""
"","17-Sep-2021 13:20:29","","","3976.0","93","SINGLE",""
"","17-Sep-2021 13:20:29","","","1854.0","798","DOUBLE",""
"","17-Sep-2021 13:20:29","","","737.0","107","SINGLE",""
"","17-Sep-2021 13:20:29","","","2234.0","712","DOUBLE",""
"","17-Sep-2021 13:20:29","","","233.0","770","FAMILY",""
"","17-Sep-2021 13:20:29","","","3912.0","802","SINGLE",""
"","17-Sep-2021 13:20:29","","","2242.0","91","SINGLE",""
"","17-Sep-2021 13:20:29","","","2411.0","179","SINGLE",""
"","17-Sep-2021 13:20:29","","","1810.0","607","DOUBLE",""
"","17-Sep-2021 13:20:29","","","423.0","489","DELUXE",""
"","17-Sep-2021 13:20:29","","","3706.0","210","FAMILY",""
"","17-Sep-2021 13:20:29","","","1677.0","26","SINGLE",""
"","17-Sep-2021 13:20:29","","","3404.0","330","SINGLE",""
"","17-Sep-2021 13:20:29","","","2301.0","363","DELUXE",""
"","17-Sep-2021 13:20:29","","","2179.0","738","FAMILY",""
"","17-Sep-2021 13:20:29","","","3209.0","504","DELUXE",""
"","17-Sep-2021 13:20:29","","","589.0","737","FAMILY",""
"","17-Sep-2021 13:20:29","","","2378.0","388","FAMILY",""
"","17-Sep-2021 13:20:29","","","2064.0","698","SINGLE",""
"","17-Sep-2021 13:20:29","","","2229.0","5","SINGLE",""
"","17-Sep-2021 13:20:29","","","1137.0","965","DOUBLE",""
"","17-Sep-2021 13:20:29","","","142.0","467","FAMILY",""
"","17-Sep-2021 13:20:29","","","1181.0","828","FAMILY",""
"","17-Sep-2021 13:20:29","","","2236.0","885","DOUBLE",""
"","17-Sep-2021 13:20:29","","","3106.0","362","DELUXE",""
"","17-Sep-2021 13:20:29","","","946.0","811","DELUXE",""
"","17-Sep-2021 13:20:29","","","4883.0","621","DOUBLE",""
"","17-Sep-2021 13:20:29","","","997.0","936","DOUBLE",""
"","17-Sep-2021 13:20:29","","","3808.0","738","SINGLE",""
"","17-Sep-2021 13:20:29","","","4640.0","146","DOUBLE",""
"","17-Sep-2021 13:20:29","","","4581.0","766","DOUBLE",""
"","17-Sep-2021 13:20:29","","","212.0","73","FAMILY",""
"","17-Sep-2021 13:20:29","","","410.0","41","FAMILY",""
"","17-Sep-2021 13:20:29","","","4822.0","904","DELUXE",""
"","17-Sep-2021 13:20:29","","","4900.0","791","DELUXE",""
"","17-Sep-2021 13:20:29","","","926.0","790","DELUXE",""
"","17-Sep-2021 13:20:29","","","702.0","151","DELUXE",""
"","17-Sep-2021 13:20:29","","","4823.0","662","FAMILY",""
"","17-Sep-2021 13:20:29","","","3806.0","271","DOUBLE",""
"","17-Sep-2021 13:20:29","","","820.0","61","FAMILY",""
"","17-Sep-2021 13:20:29","","","691.0","435","DELUXE",""
"","17-Sep-2021 13:20:29","","","1560.0","498","FAMILY",""
"","17-Sep-2021 13:20:29","","","4026.0","13","DELUXE",""
"","17-Sep-2021 13:20:29","","","4668.0","809","DELUXE",""
"","17-Sep-2021 13:20:29","","","4857.0","449","DOUBLE",""
"","17-Sep-2021 13:20:29","","","3118.0","425","FAMILY",""
"","17-Sep-2021 13:20:29","","","4343.0","867","FAMILY",""
"","17-Sep-2021 13:20:29","","","4429.0","954","DELUXE",""
"","17-Sep-2021 13:20:29","","","486.0","552","DELUXE",""
"","17-Sep-2021 13:20:29","","","1322.0","517","SINGLE",""
"","17-Sep-2021 13:20:29","","","3921.0","382","DOUBLE",""
"","17-Sep-2021 13:20:29","","","4163.0","466","FAMILY",""
"","17-Sep-2021 13:20:29","","","615.0","195","FAMILY",""
"","17-Sep-2021 13:20:29","","","3066.0","380","DELUXE",""
"","17-Sep-2021 13:20:29","","","1609.0","975","FAMILY",""
"","17-Sep-2021 13:20:29","","","260.0","618","SINGLE",""
"","17-Sep-2021 13:20:29","","","4580.0","85","DOUBLE",""
"","17-Sep-2021 13:20:29","","","4871.0","148","SINGLE",""
"","17-Sep-2021 13:20:29","","","2813.0","387","FAMILY",""
"","17-Sep-2021 13:20:29","","","2164.0","664","DOUBLE",""
"","17-Sep-2021 13:20:29","","","1188.0","84","DOUBLE",""
"","17-Sep-2021 13:20:29","","","3475.0","134","FAMILY",""
"","17-Sep-2021 13:20:29","","","1008.0","574","DELUXE",""
"","17-Sep-2021 13:20:29","","","4810.0","529","SINGLE",""
"","17-Sep-2021 13:20:29","","","2277.0","176","DOUBLE",""
"","17-Sep-2021 13:20:29","","","3298.0","632","FAMILY",""
"","17-Sep-2021 13:20:29","","","1290.0","465","DELUXE",""
"","17-Sep-2021 13:20:29","","","1106.0","869","DOUBLE",""
"","17-Sep-2021 13:20:29","","","959.0","55","DOUBLE",""
"","17-Sep-2021 13:20:29","","","1851.0","261","FAMILY",""
"","17-Sep-2021 13:20:29","","","3257.0","138","DOUBLE",""
"","17-Sep-2021 13:20:29","","","409.0","204","DELUXE",""
"","17-Sep-2021 13:20:29","","","626.0","492","FAMILY",""
"","17-Sep-2021 13:20:29","","","3810.0","845","DOUBLE",""
"","17-Sep-2021 13:20:29","","","1760.0","325","DELUXE",""
"","17-Sep-2021 13:20:29","","","346.0","973","FAMILY",""
"","17-Sep-2021 13:20:29","","","4691.0","885","DOUBLE",""
"","17-Sep-2021 13:20:29","","","1081.0","367","DELUXE",""
"","17-Sep-2021 13:20:29","","","2220.0","743","FAMILY",""
"","17-Sep-2021 13:20:29","","","843.0","20","SINGLE",""
"","17-Sep-2021 13:20:29","","","599.0","190","DELUXE",""
"","17-Sep-2021 13:20:29","","","4496.0","770","DOUBLE",""
"","17-Sep-2021 13:20:29","","","4679.0","51","FAMILY",""
"","17-Sep-2021 13:20:29","","","1605.0","54","DOUBLE",""
"","17-Sep-2021 13:20:29","","","3632.0","508","SINGLE",""
"","17-Sep-2021 13:20:29","","","1407.0","399","DELUXE",""
"","17-Sep-2021 13:20:29","","","4876.0","277","FAMILY",""
"","17-Sep-2021 13:20:29","","","3416.0","587","DOUBLE",""
"","17-Sep-2021 13:20:29","","","801.0","387","FAMILY",""
"","17-Sep-2021 13:20:29","","","1346.0","680","FAMILY",""
"","17-Sep-2021 13:20:29","","","3255.0","149","SINGLE",""
"","17-Sep-2021 13:20:29","","","3238.0","217","FAMILY",""
"","17-Sep-2021 13:20:29","","","1074.0","286","DOUBLE",""
"","17-Sep-2021 13:20:29","","","4752.0","304","FAMILY",""
"","17-Sep-2021 13:20:29","","","1214.0","967","FAMILY",""
"","17-Sep-2021 13:20:29","","","4352.0","539","DELUXE",""
"","17-Sep-2021 13:20:29","","","2713.0","491","DOUBLE",""
"","17-Sep-2021 13:20:29","","","1275.0","462","FAMILY",""
"","17-Sep-2021 13:20:29","","","4124.0","640","DELUXE",""
"","17-Sep-2021 13:20:29","","","22.0","544","FAMILY",""
"","17-Sep-2021 13:20:29","","","819.0","920","DELUXE",""
